断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
沙渚,2021/6/18 4:00,Ⅱ,27.2,7.86,6.15,589.8,34.8,1.9,0.27,0.054,0.55,0.02,*,正常,2021_06_18_08h18m
陈东港,2021/6/18 4:00,Ⅲ,27.4,7.5,6.05,386.1,70.1,3.53,0.1,0.166,2.52,*,*,正常,2021_06_18_08h18m
锡东水厂,2021/6/18 4:00,Ⅳ,27.6,8.18,6.26,478.2,44.3,2.89,0.077,0.064,0.69,--,--,维护,2021_06_18_08h18m
兰山嘴,2021/6/18 8:00,Ⅳ,27.7,8.67,6.96,401.7,51.4,3.07,0.025,0.051,0.63,0.007,24563700,正常,2021_06_18_08h18m
拖山,2021/6/18 8:00,Ⅲ,27.2,8,6.29,475.4,52.4,2.78,0.025,0.047,0.42,0.003,24985520,正常,2021_06_18_08h18m
落蓬湾,2021/6/18 4:00,Ⅳ,27.3,7.27,4.11,286.9,130.5,4.55,0.084,0.074,0.94,*,*,正常,2021_06_18_08h18m
兰山嘴(老),2021/6/18 4:00,Ⅳ,28.5,7.62,4.85,390.6,42.2,3.32,0.266,0.109,1.5,0.044,*,正常,2021_06_18_08h18m
西山,2021/6/18 4:00,Ⅲ,29.8,7.01,7.12,460,73.3,2.21,0.18,0.041,0.83,0.009,*,正常,2021_06_18_08h18m
汤溇,2021/6/18 4:00,Ⅳ,28.5,7.23,4.65,435.7,30.2,3.53,0.091,0.069,2.62,*,*,正常,2021_06_18_08h18m
小梅口,2021/6/18 4:00,Ⅳ,27.8,6.61,3.01,192.2,56.9,3.37,0.049,0.079,3.46,*,*,正常,2021_06_18_08h18m
沙渚,2021/6/18 8:00,Ⅱ,27.1,7.88,6.27,588.1,62.4,1.89,0.22,0.068,0.41,0.022,*,正常,2021_06_18_11h18m
陈东港,2021/6/18 8:00,Ⅲ,27.3,7.51,6.49,397.5,75.3,3.47,0.102,0.159,2.5,*,*,正常,2021_06_18_11h18m
锡东水厂,2021/6/18 8:00,Ⅳ,27.5,8.11,5.92,474.6,45.3,2.94,0.09,0.064,0.74,--,--,维护,2021_06_18_11h18m
兰山嘴,2021/6/18 8:00,Ⅳ,27.7,8.67,6.96,401.7,51.4,3.09,0.025,0.056,0.64,0.007,24563700,正常,2021_06_18_11h18m
拖山,2021/6/18 8:00,Ⅳ,27.2,8,6.29,475.4,52.4,2.97,0.025,0.052,0.45,0.003,24985520,正常,2021_06_18_11h18m
落蓬湾,2021/6/18 8:00,Ⅳ,27.3,7.23,3.88,285,74.3,4.7,0.06,0.066,1.42,*,*,正常,2021_06_18_11h18m
兰山嘴(老),2021/6/18 8:00,Ⅳ,28.2,7.51,4.53,380.2,45.4,4.31,0.285,0.127,1.8,0.084,*,正常,2021_06_18_11h18m
西山,2021/6/18 8:00,Ⅲ,29.5,6.97,6.91,460.6,81.5,2.18,0.19,0.04,0.66,0.006,*,正常,2021_06_18_11h18m
汤溇,2021/6/18 8:00,Ⅲ,28.2,7.32,5.4,432.7,41.2,3.48,0.056,0.08,2.65,*,*,正常,2021_06_18_11h18m
小梅口,2021/6/18 8:00,Ⅴ,27.7,6.59,2.87,194.1,108.4,4.02,0.09,0.11,4.08,*,*,正常,2021_06_18_11h18m
沙渚,2021/6/18 12:00,Ⅲ,27.3,7.89,6.18,589.3,43.1,1.89,0.79,0.068,0.41,0.019,*,正常,2021_06_18_14h28m
陈东港,2021/6/18 12:00,Ⅲ,27.2,7.51,6.34,405.5,75.2,3.55,0.103,0.161,2.57,*,*,正常,2021_06_18_14h28m
锡东水厂,2021/6/18 12:00,Ⅳ,27.6,8.26,6.42,475,45.4,3.3,0.095,0.065,0.85,--,--,维护,2021_06_18_14h28m
兰山嘴,2021/6/18 12:00,Ⅳ,27.8,8.74,7.79,399.3,62.7,3.19,0.025,0.051,0.67,0.007,46762300,正常,2021_06_18_14h28m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_18_14h28m
落蓬湾,2021/6/18 12:00,Ⅳ,27,7.2,3.76,282,74.1,4.7,0.06,0.066,1.42,*,*,正常,2021_06_18_14h28m
兰山嘴(老),2021/6/18 12:00,Ⅳ,28.2,7.64,4.9,382.2,35.1,3.45,0.258,0.121,1.13,0.042,*,正常,2021_06_18_14h28m
西山,2021/6/18 12:00,Ⅲ,29.4,7.18,6.96,435,71,2.13,0.17,0.04,0.91,0.006,*,正常,2021_06_18_14h28m
汤溇,2021/6/18 8:00,Ⅲ,28.2,7.32,5.4,432.7,41.2,3.48,0.056,0.08,2.65,*,*,正常,2021_06_18_14h28m
小梅口,2021/6/18 8:00,Ⅴ,27.7,6.59,2.87,194.1,108.4,4.02,0.09,0.11,4.08,*,*,正常,2021_06_18_14h28m
沙渚,2021/6/18 12:00,Ⅲ,27.3,7.89,6.18,589.3,43.1,1.89,0.79,0.068,0.41,0.019,*,正常,2021_06_18_17h28m
陈东港,2021/6/18 12:00,Ⅲ,27.2,7.51,6.34,405.5,75.2,3.55,0.103,0.161,2.57,*,*,正常,2021_06_18_17h28m
锡东水厂,2021/6/18 16:00,Ⅳ,27.5,8.29,6.57,476.1,47.6,3.3,0.095,0.065,0.85,0.012,3836370,正常,2021_06_18_17h28m
兰山嘴,2021/6/18 16:00,Ⅳ,27.7,8.65,7.74,399.6,39.2,3.57,0.033,0.09,0.83,0.005,18755300,正常,2021_06_18_17h28m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_18_17h28m
落蓬湾,2021/6/18 16:00,Ⅳ,27,7.2,3.72,282.7,71.5,4.74,0.067,0.068,1.46,*,*,正常,2021_06_18_17h28m
兰山嘴(老),2021/6/18 12:00,Ⅳ,28.2,7.64,4.9,382.2,35.1,3.45,0.258,0.121,1.13,0.042,*,正常,2021_06_18_17h28m
西山,2021/6/18 12:00,Ⅲ,29.4,7.18,6.96,435,71,2.13,0.17,0.04,0.91,0.006,*,正常,2021_06_18_17h28m
汤溇,2021/6/18 12:00,Ⅳ,28.5,7.12,4,443.4,45.7,3.91,0.084,0.08,2.67,*,*,正常,2021_06_18_17h28m
小梅口,2021/6/18 12:00,Ⅴ,27.7,6.57,2.63,191.5,56.9,3.35,0.06,0.089,3.56,*,*,正常,2021_06_18_17h28m
沙渚,2021/6/18 16:00,Ⅱ,27.1,8,6.62,586.6,39.5,2.42,0.22,0.06,0.43,0.021,*,正常,2021_06_18_20h28m
陈东港,2021/6/18 16:00,Ⅲ,27.3,7.49,6.3,421.5,82.1,3.73,0.106,0.158,2.69,*,*,正常,2021_06_18_20h28m
锡东水厂,2021/6/18 16:00,Ⅳ,27.5,8.29,6.57,476.1,47.6,3.3,0.095,0.065,0.85,0.012,3836370,正常,2021_06_18_20h28m
兰山嘴,2021/6/18 20:00,Ⅳ,27.4,8.57,7.35,399.3,57.6,3.57,0.033,0.09,0.83,0.006,7964410,正常,2021_06_18_20h28m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_18_20h28m
落蓬湾,2021/6/18 16:00,Ⅳ,27,7.2,3.72,282.7,71.5,4.72,0.126,0.072,1.63,*,*,正常,2021_06_18_20h28m
兰山嘴(老),2021/6/18 16:00,Ⅲ,28,7.51,5.07,372.5,38.5,4.01,0.328,0.126,1.45,0.046,*,正常,2021_06_18_20h28m
西山,2021/6/18 16:00,Ⅲ,29.4,6.95,7.08,433.8,115.4,2.18,0.15,0.039,0.82,0.007,*,正常,2021_06_18_20h28m
汤溇,2021/6/18 16:00,Ⅴ,28.3,6.93,2.86,446,66.5,4.03,0.098,0.1,3.86,*,*,正常,2021_06_18_20h28m
小梅口,2021/6/18 16:00,Ⅳ,27.6,6.61,3.1,183.7,53,3.3,0.057,0.087,3.48,*,*,正常,2021_06_18_20h28m
沙渚,2021/6/18 20:00,Ⅲ,27.1,8.08,6.85,576,45,4.16,0.24,0.062,1.04,0.025,*,正常,2021_06_18_23h29m
陈东港,2021/6/18 20:00,Ⅲ,27,7.49,6.33,416,79.1,3.67,0.108,0.164,2.68,*,*,正常,2021_06_18_23h29m
锡东水厂,2021/6/18 20:00,Ⅳ,27.2,8.23,6.39,474.5,50.6,3.66,0.076,0.072,0.94,0.013,3954110,正常,2021_06_18_23h29m
兰山嘴,2021/6/18 20:00,Ⅳ,27.4,8.57,7.35,399.3,57.6,3.6,0.029,0.081,0.76,0.006,7964410,正常,2021_06_18_23h29m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_18_23h29m
落蓬湾,2021/6/18 20:00,Ⅳ,27,7.25,3.88,284.9,100.7,4.73,0.176,0.083,1.4,*,*,正常,2021_06_18_23h29m
兰山嘴(老),2021/6/18 20:00,Ⅲ,27.6,7.68,5.88,376.4,96.9,4.8,0.256,0.137,1.65,0.045,*,正常,2021_06_18_23h29m
西山,2021/6/18 20:00,Ⅳ,29.1,6.93,6.83,434.2,137,2.33,0.13,0.052,0.86,0.007,*,正常,2021_06_18_23h29m
汤溇,2021/6/18 20:00,Ⅲ,28.2,7.23,5.48,437.2,43.3,3.6,0.059,0.079,3.45,*,*,正常,2021_06_18_23h29m
小梅口,2021/6/18 20:00,Ⅳ,27.6,6.6,3.2,180.5,63.3,3.38,0.062,0.087,3.4,*,*,正常,2021_06_18_23h29m
沙渚,2021/6/18 20:00,Ⅲ,27.1,8.08,6.85,576,45,4.16,0.24,0.062,1.04,0.025,*,正常,2021_06_19_02h29m
陈东港,2021/6/18 20:00,Ⅲ,27,7.49,6.33,416,79.1,3.67,0.108,0.164,2.68,*,*,正常,2021_06_19_02h29m
锡东水厂,2021/6/19 0:00,Ⅳ,26.8,8.11,6.04,474,50.9,3.66,0.076,0.072,0.94,0.013,7042270,正常,2021_06_19_02h29m
兰山嘴,2021/6/19 0:00,Ⅳ,27,8.58,7.22,399,54.4,3.6,0.044,0.08,0.73,0.005,6180790,正常,2021_06_19_02h29m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_19_02h29m
落蓬湾,2021/6/19 0:00,Ⅳ,26.8,7.32,4.41,283.3,76.6,4.73,0.176,0.083,1.4,*,*,正常,2021_06_19_02h29m
兰山嘴(老),2021/6/18 20:00,Ⅲ,27.6,7.68,5.88,376.4,96.9,4.8,0.256,0.137,1.65,0.045,*,正常,2021_06_19_02h29m
西山,2021/6/18 20:00,Ⅳ,29.1,6.93,6.83,434.2,137,2.33,0.13,0.052,0.86,0.007,*,正常,2021_06_19_02h29m
汤溇,2021/6/18 20:00,Ⅲ,28.2,7.23,5.48,437.2,43.3,3.6,0.059,0.079,3.45,*,*,正常,2021_06_19_02h29m
小梅口,2021/6/18 20:00,Ⅳ,27.6,6.6,3.2,180.5,63.3,3.38,0.062,0.087,3.4,*,*,正常,2021_06_19_02h29m
沙渚,2021/6/19 0:00,Ⅲ,26.6,7.98,6.53,577.1,49.5,5.37,0.22,0.058,0.85,0.023,*,正常,2021_06_19_05h30m
陈东港,2021/6/19 0:00,Ⅲ,26.6,7.49,6.42,410.2,75.2,3.59,0.104,0.159,2.69,*,*,正常,2021_06_19_05h30m
锡东水厂,2021/6/19 4:00,Ⅳ,26.4,7.97,5.68,472.2,51.3,3.74,0.094,0.075,1.01,0.011,5448900,正常,2021_06_19_05h30m
兰山嘴,2021/6/19 4:00,Ⅳ,26.7,8.55,7.13,398.5,49,3.37,0.043,0.072,0.75,0.005,17235100,正常,2021_06_19_05h30m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_19_05h30m
落蓬湾,2021/6/19 4:00,Ⅳ,26.4,7.33,4.41,284.4,60.8,3.88,0.08,0.066,1.33,*,*,正常,2021_06_19_05h30m
兰山嘴(老),2021/6/19 0:00,Ⅲ,27.1,7.66,5.22,365.2,94.8,3.94,0.243,0.167,2.1,0.042,*,正常,2021_06_19_05h30m
西山,2021/6/19 0:00,Ⅲ,28.5,6.93,6.85,434.3,140.7,2.24,0.15,0.047,0.74,0.005,*,正常,2021_06_19_05h30m
汤溇,2021/6/19 0:00,Ⅲ,27.6,7.31,5.68,403,71.8,3.64,0.076,0.103,3.91,*,*,正常,2021_06_19_05h30m
小梅口,2021/6/19 0:00,Ⅳ,27.1,6.6,3.37,174.3,75.8,3.57,0.064,0.084,3.21,*,*,正常,2021_06_19_05h30m
沙渚,2021/6/19 4:00,Ⅲ,26.4,7.86,6.15,577.7,39.7,5.17,0.22,0.051,1.13,0.023,*,正常,2021_06_19_08h30m
陈东港,2021/6/19 4:00,Ⅲ,26.4,7.48,6.37,408.8,74.3,3.6,0.105,0.16,2.7,*,*,正常,2021_06_19_08h30m
锡东水厂,2021/6/19 4:00,Ⅳ,26.4,7.97,5.68,472.2,51.3,4.05,0.17,0.077,1.24,0.011,5448900,正常,2021_06_19_08h30m
兰山嘴,2021/6/19 8:00,Ⅳ,26.6,8.42,6.84,397.5,46.6,3.37,0.043,0.072,0.75,0.006,16257600,正常,2021_06_19_08h30m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_19_08h30m
落蓬湾,2021/6/19 4:00,Ⅳ,26.4,7.33,4.41,284.4,60.8,3.85,0.084,0.06,1.49,*,*,正常,2021_06_19_08h30m
兰山嘴(老),2021/6/19 4:00,Ⅲ,26.5,7.62,5.13,377.4,68.3,3.79,0.266,0.14,2.09,0.073,*,正常,2021_06_19_08h30m
西山,2021/6/19 4:00,Ⅲ,28,6.82,6.61,433.8,126.6,2.23,0.17,0.049,0.77,0.01,*,正常,2021_06_19_08h30m
汤溇,2021/6/19 4:00,Ⅳ,27.4,7,3.24,441.7,65.5,3.94,0.085,0.116,3.69,*,*,正常,2021_06_19_08h30m
小梅口,2021/6/19 4:00,Ⅳ,26.9,6.62,3.16,179.9,73.4,3.35,0.084,0.085,3.27,*,*,正常,2021_06_19_08h30m
沙渚,2021/6/19 8:00,Ⅲ,26.3,7.77,5.89,589.8,52.7,4.9,0.28,0.051,0.78,0.022,*,正常,2021_06_19_11h30m
陈东港,2021/6/19 8:00,Ⅲ,26.2,7.46,6.26,412.7,85.1,3.73,0.106,0.158,2.85,*,*,正常,2021_06_19_11h30m
锡东水厂,2021/6/19 8:00,Ⅳ,26.3,7.93,5.53,472.7,48.9,3.32,0.192,0.075,0.93,0.01,3349140,正常,2021_06_19_11h30m
兰山嘴,2021/6/19 8:00,Ⅳ,26.6,8.42,6.84,397.5,46.6,3.19,0.039,0.067,0.79,0.006,16257600,正常,2021_06_19_11h30m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_19_11h30m
落蓬湾,2021/6/19 8:00,Ⅳ,26.3,7.3,4.17,285,63.2,4.32,0.138,0.066,1.58,*,*,正常,2021_06_19_11h30m
兰山嘴(老),2021/6/19 8:00,Ⅳ,26.5,7.6,4.88,367,53.7,3.3,0.243,0.13,1.72,0.048,*,正常,2021_06_19_11h30m
西山,2021/6/19 8:00,Ⅲ,27.8,6.68,6.01,433.7,78.1,2.14,0.13,0.044,0.74,0.007,*,正常,2021_06_19_11h30m
汤溇,2021/6/19 8:00,Ⅳ,26.8,7.05,3.95,437.1,76.8,4.1,0.092,0.125,--,*,*,维护,2021_06_19_11h30m
小梅口,2021/6/19 8:00,Ⅴ,26.7,6.64,2.85,199.1,56.2,3.5,0.138,0.091,3.09,*,*,正常,2021_06_19_11h30m
沙渚,2021/6/19 12:00,Ⅲ,26.2,7.84,6.15,596.4,47.4,5.17,0.24,0.052,1.2,0.022,*,正常,2021_06_19_15h50m
陈东港,2021/6/19 12:00,Ⅲ,26.1,7.46,6.21,408.5,80.2,3.74,0.109,0.161,2.7,*,*,正常,2021_06_19_15h50m
锡东水厂,2021/6/19 12:00,Ⅳ,26.2,7.99,5.75,473.4,52.5,4.02,0.162,0.084,1.02,0.008,5969310,正常,2021_06_19_15h50m
兰山嘴,2021/6/19 12:00,Ⅳ,26.4,8.38,7.01,396.6,44.9,3.5,0.035,0.068,0.75,0.005,9381700,正常,2021_06_19_15h50m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_19_15h50m
落蓬湾,2021/6/19 12:00,Ⅳ,26.1,7.28,4.1,284.6,67.4,4.41,0.192,0.072,1.68,*,*,正常,2021_06_19_15h50m
兰山嘴(老),2021/6/19 12:00,Ⅳ,26.2,7.53,4.87,365.2,42.5,3.46,0.26,0.114,1.75,0.039,*,正常,2021_06_19_15h50m
西山,2021/6/19 12:00,Ⅲ,27.7,6.71,6.29,432.3,72.1,2.1,0.15,0.04,0.74,0.005,*,正常,2021_06_19_15h50m
汤溇,2021/6/19 12:00,Ⅳ,26.6,7.06,4.27,429.1,85.8,4.3,0.109,0.139,3.64,*,*,正常,2021_06_19_15h50m
小梅口,2021/6/19 12:00,Ⅳ,26.3,6.69,3.38,200,56.6,3.31,0.181,0.093,3,*,*,正常,2021_06_19_15h50m
沙渚,2021/6/19 16:00,Ⅲ,26.1,7.92,6.49,594.9,51.2,5.79,0.25,0.053,0.98,0.022,*,正常,2021_06_19_18h50m
陈东港,2021/6/19 16:00,Ⅲ,26,7.47,6.28,403.1,71.5,3.74,0.1,0.155,2.75,*,*,正常,2021_06_19_18h50m
锡东水厂,2021/6/19 16:00,Ⅳ,26.1,8.16,6.28,481.1,49.8,3.65,0.114,0.072,0.86,0.01,3310500,正常,2021_06_19_18h50m
