Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N
兰山嘴,2021/8/6,7720880,29.8,7.41,6.5,2.12,0.104,95.4,249.1,3.03,0.025
兰山嘴,2021/9/23,15682136.67,28.5,8.57,9.79,0.926666667,0.079,213.4,270.0333333,3.123333333,0.027
兰山嘴,2021/9/24,11687650,27.65,8.285,8.25,0.96,0.092,77.8,275.6,3.395,0.0265
兰山嘴,2021/10/28,4940380,19.63333333,8.346666667,10.47,0.8,0.041333333,47.33333333,324.8,3.116666667,0.025
兰山嘴,2021/10/29,6656800,18.825,8.0925,9.8925,0.865,0.04075,45.9,327.45,3.22,0.025
兰山嘴,2021/11/5,8137400,19.725,7.97,8.7225,1.1375,0.03475,61.55,332.775,3.665,0.025
兰山嘴,2021/11/6,7289315,19.7,7.708333333,8.226666667,1.23,0.04,61.9,333.3,3.721666667,0.025
兰山嘴,2021/11/7,8833778,19.2,7.62,8.174,1.496,0.08,95.84,341.46,5.542,0.025
兰山嘴,2021/11/8,19500082,15.52,7.7,9.342,0.946,0.0762,159.2,306.46,4.834,0.025
兰山嘴,2021/11/9,24412360,13.78,7.842,9.638,0.876,0.0456,110.88,298.94,3.88,0.025
兰山嘴,2021/11/10,6485682,13.16,7.606,9.734,0.68,0.0472,101.62,308.48,3.27,0.025
兰山嘴,2021/11/11,5885054,13.04,7.63,9.916,0.64,0.0408,87.86,311.1,3.066,0.025
兰山嘴,2021/11/12,7242245,13.05,7.695,9.965,0.63,0.033,49.7,311.05,2.76,0.025
兰山嘴,2021/11/26,11584630,13.56666667,8.803333333,14,1.156666667,0.012333333,31.3,405.2,3.183333333,0.025
兰山嘴,2021/11/27,28952833.33,12.71666667,8.41,12.43,1.131666667,0.013833333,92.7,418.3666667,3.326666667,0.025
兰山嘴,2021/11/28,27672300,12.96666667,7.998333333,11.15666667,1.393333333,0.013666667,83.73333333,427.55,3.505,0.025
兰山嘴,2021/11/29,9367822.5,13.575,8.045,10.8775,1.2775,0.01,41.775,424.775,3.37,0.025
兰山嘴,2021/11/30,12508417.5,13.025,8.2375,10.7325,1.435,0.036,127.9,407.825,4.995,0.025
兰山嘴,2021/12/1,10606232.5,11.3,7.61,10.465,0.8175,0.0205,110.225,329.325,3.3425,0.025
兰山嘴,2021/12/2,8363636.667,10.66666667,7.573333333,10.51,0.693333333,0.017666667,84.13333333,328.3666667,3.44,0.025
兰山嘴,2021/12/3,4048070,10.9,7.7,10.63,0.65,0.03,85.4,325.2,4.38,0.025
兰山嘴,2021/12/7,14437600,12.25,8.76,12.615,1.05,0.0235,25.75,395.6,2.56,0.027
兰山嘴,2021/12/8,30082450,11.5,8.655,12.3825,1,0.02425,75.3,407.65,2.8025,0.03325
兰山嘴,2021/12/9,30177825,11.675,8.625,11.975,0.9625,0.023,76.425,399.675,2.7225,0.036
兰山嘴,2021/12/10,6291665,12.8,8.75,11.555,1.06,0.0235,15.8,434.1,2.715,0.044
兰山嘴,2021/12/14,8885077.5,10.725,8.525,11.6775,1.6925,0.05225,33.825,443.625,6.6625,0.025
兰山嘴,2021/12/15,22725150,10.6,8.295,11.205,2.23,0.1025,48.5,442.25,9.12,0.025
兰山嘴,2021/12/22,2374621.333,10.56666667,8.576666667,12.86666667,1.146666667,0.031,6,438.7666667,5.533333333,0.025
兰山嘴,2021/12/23,1113037.6,10.66,8.052,11.824,1.42,0.0318,13.66,458.82,5.39,0.0258
兰山嘴,2021/12/24,315460,10.7,7.895,11.475,1.63,0.036,13.2,473.5,4.96,0.0335
兰山嘴,2021/12/27,5794070,5.6,7.76,12.22,1.935,0.091,64.7,501.1,5.8,0.136
兰山嘴,2021/12/28,6570530,5.175,7.795,12.115,1.9875,0.0835,52.2,503.15,5.3625,0.80875
兰山嘴,2021/12/30,2818590,5.4,7.83,12.47,1.94,0.048,30.5,488.6,4.41,0.07
兰山嘴,2022/1/11,3222133.333,7.333333333,7.86,11.50666667,2.23,0.063,33.23333333,512.0333333,3.933333333,0.241333333
兰山嘴,2022/1/12,3543073.333,6.866666667,7.926666667,11.82,2.286666667,0.077,46.43333333,522.9,4.226666667,0.239333333
兰山嘴,2022/1/14,2468725,6.1,7.905,12.185,2.225,0.0845,57.95,526.4,4.56,0.22
兰山嘴,2022/1/19,2169665.25,8.25,7.89,11.97,2.1325,0.0665,26.975,526.2,3.735,0.17325
兰山嘴,2022/1/20,4630718.333,8.016666667,7.75,11.75666667,2.293333333,0.094666667,61.73333333,548.4166667,4.318333333,0.205833333
兰山嘴,2022/1/21,5986150,7.725,7.72,11.6525,2.57,0.1275,86.6,567.525,5.0975,0.29975
兰山嘴,2022/2/10,4967275,5.4,7.73,12.11,2.365,0.0585,49.9,479.95,3.83,0.1345
兰山嘴,2022/2/11,4662060,5.6,7.726666667,12.01,2.56,0.072666667,48.16666667,500.0666667,3.876666667,0.251666667
兰山嘴,2022/2/12,4122275,6.275,7.6,11.21,3.755,0.11275,45.9,520.05,4.4475,0.7695
兰山嘴,2022/2/13,3755670,6.7,7.56,10.795,3.886666667,0.0875,23.8,531.5333333,4.305,0.802833333
兰山嘴,2022/2/18,6528145,5.7,7.84,11.955,3.353333333,0.21,122.65,596.15,6.38,0.451916667
兰山嘴,2022/2/19,5679315,5.55,7.905,12.04,2.82,0.159,92.7,644.85,6.38,0.101
兰山嘴,2022/2/22,3408826.667,6.9,7.956666667,12.28333333,2.82,0.051666667,24.13333333,646.3666667,4.1,0.084333333
兰山嘴,2022/2/23,3420588,7.28,7.934,12.204,2.814,0.0466,22.52,639.38,4.08,0.1186
兰山嘴,2022/3/1,8236386.667,11.43333333,8.086666667,12.31,2.42,0.065333333,15.2,594.4,4,0.110333333
兰山嘴,2022/3/2,9049070,11.45,8.085,11.82,3.02,0.0695,20.15,599.3,4.09,0.0475
兰山嘴,2022/3/7,8567800,12.85,7.86,10.275,3.56,0.0835,40.85,534.1,4.15,0.1565
兰山嘴,2022/3/8,3389320,13.95,7.81,10.775,3.71,0.064,22.8,534.8,4.205,0.1705
兰山嘴,2022/3/9,3685734,14.18,7.858,10.672,3.608,0.0692,28.5,527.84,4.208,0.136
兰山嘴,2022/3/10,4562963.333,14.46666667,8.023333333,10.90666667,3.473333333,0.082,34.83333333,533.0666667,4.74,0.078333333
兰山嘴,2022/3/11,3924842.5,16.525,8.175,11.9525,3.2675,0.07275,16.8,545.15,4.66,0.14175
兰山嘴,2022/3/12,4439780,17.55,8.19,11.89,2.67,0.0695,14,547.45,4.82,0.094
兰山嘴,2022/3/13,5540433.333,18.3,8.373333333,12.89,2.826666667,0.072,14.41666667,549.8,5.36,0.042833333
兰山嘴,2022/3/14,6245407.5,19.05,8.6425,14.8775,2.433333333,0.0725,15.6,554,5.605,0.025
兰山嘴,2022/3/15,7670870,18.1,8.49,11.145,2.865,0.1015,53.4,552.25,5.97,0.025
兰山嘴,2022/3/16,6419956,18.84,8.53,11.866,2.994,0.09,34.24,536.28,5.92,0.025
兰山嘴,2022/3/17,6882228.333,18.11666667,8.298333333,9.858333333,2.835,0.103166667,90.26666667,531.7333333,6.03,0.025
兰山嘴,2022/3/18,5403713.333,15.2,8.013333333,9.166666667,3.02,0.106666667,70.33333333,513.9666667,5.296666667,0.025
兰山嘴,2022/3/23,4792930,11.5,7.84,10.67,2.56,0.005,67.7,502.1,5.028333333,0.0265
兰山嘴,2022/3/24,3317010,12.65,7.78,10.805,2.515,0.12,89.4,499.85,4.76,0.028
兰山嘴,2022/3/25,3852640,12.98333333,7.706666667,10.17666667,2.346666667,0.1485,108.5833333,506.8666667,5.116666667,0.107
兰山嘴,2022/3/26,2686768.333,13.6,7.76,10.06333333,2.438333333,0.112833333,67.25,512.2333333,4.17,0.087333333
兰山嘴,2022/3/27,2179710,14.58333333,7.76,10.13833333,2.53,0.095666667,37.05,455.4333333,3.778333333,0.218333333
兰山嘴,2022/3/28,2891648.333,14.11666667,7.701666667,9.966666667,2.673333333,0.123666667,80.38333333,440.6166667,4.278333333,0.169166667
兰山嘴,2022/3/29,3405772,14.24,7.874,10.24,2.61,0.1194,102.08,484.74,4.31,0.0422
兰山嘴,2022/3/30,2940248,15.7,8.246,11.774,2.634,0.0982,63.44,495.3,4.2975,0.025
兰山嘴,2022/3/31,2881111.667,15.38333333,8.16,10.9,2.721666667,0.0865,65.76666667,491.5833333,4.285,0.025
兰山嘴,2022/4/1,2801012,14.46,8.088,10.316,2.702,0.0928,70.84,506.06,3.914,0.025
兰山嘴,2022/4/2,2638792,14.44,8.24,11.096,2.805,0.078,44.16,500.3,3.786,0.025
兰山嘴,2022/4/3,2942583.333,15.51666667,8.445,12.51666667,2.7175,0.072166667,32.91666667,487.6333333,4.338333333,0.025
兰山嘴,2022/4/4,3341680,14.95,8.266666667,11.05666667,2.63,0.068666667,63.66666667,513.5,3.636666667,0.025
兰山嘴,2022/4/5,3982425,15.13333333,8.171666667,10.515,2.656666667,0.074833333,64.95,491.2166667,3.715,0.025
兰山嘴,2022/4/6,3709498.333,16.4,8.348333333,11.41166667,2.603333333,0.054666667,33.73333333,494.0166667,3.548333333,0.025
兰山嘴,2022/4/7,2828316.667,18.53333333,8.663333333,13.21,2.5,0.043666667,15.66666667,514.9,3.496666667,0.025
兰山嘴,2022/4/8,2944701.667,18.05,8.66,12.495,2.0375,0.0245,11.98333333,493.6,3.445,0.025
兰山嘴,2022/4/9,2881478,18.46,8.626,11.198,2.4575,0.005,19.68,498.5,3.393333333,0.025
兰山嘴,2022/4/10,2708758,19.66,8.364,9.798,2.474,0.035,23.14,475.96,3.341666667,0.025
兰山嘴,2022/4/11,2487265,20.78333333,8.261666667,9.733333333,8.08,0.0525,18.93333333,479.1666667,3.29,0.025
兰山嘴,2022/4/12,2921267.5,21.925,8.2625,9.8825,12.8175,0.0475,13.525,470.225,3.195,0.025
兰山嘴,2022/4/13,8043335,20.6,8.355,9.108333333,2.193333333,0.093166667,71.28333333,456.4666667,4.368333333,0.025
兰山嘴,2022/4/14,4437145,17.93333333,7.948333333,8.741666667,2.185,0.086166667,69.21666667,441.8333333,4.316666667,0.025
兰山嘴,2022/4/15,3442082.5,17,7.8325,9.1625,2.4075,0.07875,67.475,441.85,3.43,0.025
兰山嘴,2022/4/16,3667791.667,17.28333333,7.956666667,9.733333333,2.36,0.0735,63.05,451.35,3.66,0.025
兰山嘴,2022/4/17,3537760,17.125,7.98,9.56,2.2225,0.06875,53.7,452.725,3.52,0.025
兰山嘴,2022/4/18,4242793.333,17.23333333,7.961666667,9.553333333,2.236666667,0.067333333,54.75,466.4333333,3.565,0.025
兰山嘴,2022/4/19,3473361.667,18.1,8.071666667,10.05666667,2.24,0.052333333,33.75,464.0333333,3.383333333,0.025
兰山嘴,2022/4/20,4137068.333,18.81666667,8.201666667,10.43,2.075,0.048166667,25.86666667,461.75,3.42,0.025
兰山嘴,2022/4/21,5182986.667,19.85,8.313333333,10.77166667,1.841666667,0.0535,29.06666667,469.0166667,3.926666667,0.025
兰山嘴,2022/4/22,6437645,21.1,8.675,11.65333333,1.74,0.0615,32.55,464.6666667,4.376666667,0.025
兰山嘴,2022/4/23,5418016.667,21.81666667,8.503333333,11.045,1.721666667,0.048166667,24.11666667,446.2,4.443333333,0.025
兰山嘴,2022/4/24,8304856,21.46,8.514,9.904,1.882,0.0676,55.52,450.16,4.922,0.025
兰山嘴,2022/4/25,6866792.5,21.375,8.07,8.39,1.9175,0.07575,60,466.325,6.2475,0.025
兰山嘴,2022/4/26,5566400,21.58333333,7.986666667,8.286666667,1.805,0.052833333,36,467.8833333,3.768333333,0.025
兰山嘴,2022/4/27,8936630,21.45,8.045,8.911666667,1.85,0.061833333,59.41666667,458.1833333,3.722,0.025
兰山嘴,2022/4/28,5816800,20.25,7.703333333,8.256666667,1.725,0.124,102.0333333,426.7,3.939133333,0.025
兰山嘴,2022/4/29,5385461.667,18.98333333,7.691666667,8.61,1.798333333,0.135333333,109.8166667,417.2333333,4.156266667,0.036222222
兰山嘴,2022/4/30,5039206.667,18.38333333,7.696666667,8.488333333,1.795,0.091833333,59.75,422.5833333,4.3734,0.047444444
兰山嘴,2022/5/1,3004680,18.21666667,7.651666667,8.665,1.75,0.064666667,36.18333333,417.5333333,4.590533333,0.058666667
兰山嘴,2022/5/2,4770283.333,19.11666667,8.233333333,10.775,1.665,0.052666667,25.1,423.4333333,4.807666667,0.069888889
兰山嘴,2022/5/3,5965738,19.84,8.424,11.398,1.604,0.0466,25.04,416.8,5.0248,0.081111111
兰山嘴,2022/5/5,7132877.5,21.925,8.565,10.62,1.53,0.067,39.1,408.175,5.241933333,0.092333333
兰山嘴,2022/5/6,6006150,22.81666667,8.06,8.438333333,1.411111111,0.072833333,51.23333333,413.0833333,5.459066667,0.103555556
兰山嘴,2022/5/7,5651700,23.78,7.67,8.85,1.292222222,0.0532,28.84,416.32,5.6762,0.114777778
兰山嘴,2022/5/24,12823000,22.76666667,8.633333333,8.55,1.173333333,0.089,106.6666667,403.2333333,5.893333333,0.126
兰山嘴,2022/5/25,8656616.667,23.58333333,8.698333333,8.883333333,1.165,0.063333333,80.83333333,414.4,4.23,0.105333333
兰山嘴,2022/5/26,7169411.667,24.58333333,7.655,9.105,1.458333333,0.045333333,49.71666667,378.8833333,3.865,0.025
兰山嘴,2022/5/27,11705280,25.26,7.258,9.198,1.44,0.0408,53.16,387.54,4.394,0.025
兰山嘴,2022/5/28,13906483.33,25.11666667,7.076666667,8.773333333,1.38,0.060666667,174.4166667,408.2166667,5.03,0.025
兰山嘴,2022/5/29,21769016.67,25.08333333,7.011666667,8.273333333,1.258333333,0.078333333,311.2,340.9333333,5.853333333,0.025
兰山嘴,2022/5/30,19051711.67,25.35,7.551666667,8.283333333,1.13,0.073,94.23333333,404.4666667,6.043333333,0.025
兰山嘴,2022/5/31,8734488.333,24.5,7.07,7.553333333,0.9,0.098333333,244.3166667,406.3166667,4.226666667,0.025
兰山嘴,2022/6/1,7918661.667,25.11666667,7.278333333,7.786666667,0.748,0.072,294,407.6833333,3.918333333,0.025
兰山嘴,2022/6/2,10888740,25.6,7.358333333,8.271666667,0.7825,0.058166667,292.65,414.4333333,4.356666667,0.025
兰山嘴,2022/6/3,22517850,25.925,7.2475,7.975,1.075,0.11675,434.75,406.375,5.85,0.025
兰山嘴,2022/6/4,11594200,26.9,7.61,6.54,1.0505,0.07,387.9,381.4,4.93,0.025
兰山嘴,2022/6/5,22557480,26.22,7.128,7.476,1.026,0.0468,559.22,356.4,3.372,0.025
兰山嘴,2022/6/6,13622646,27.28,7.466,8.544,0.994,0.0406,569.625,293.92,3.074,0.025
兰山嘴,2022/6/7,20106116.67,27,7.365,9.553333333,1.068333333,0.058833333,51.06666667,417.2833333,4.233333333,0.025
兰山嘴,2022/6/8,25802425,26.775,7.56,10.005,1.17,0.06925,75.075,398.6,5.4425,0.025
兰山嘴,2022/6/9,19130066.67,26.63333333,7.335,8.551666667,0.838,0.07,90.41666667,381.0333333,4.42,0.025
兰山嘴,2022/6/10,17747066.67,26.23333333,7.108333333,7.95,0.8525,0.089166667,114.5666667,382.8,4.24,0.025
兰山嘴,2022/6/11,16439583.33,26.01666667,7.041666667,8.425,0.81,0.070333333,89.08333333,402.9333333,3.868333333,0.025
兰山嘴,2022/6/12,10580465,24.83333333,6.648333333,7.686666667,1.185,0.082166667,102.25,388.05,3.586666667,0.025
兰山嘴,2022/6/13,8064228,23.94,6.728,7.796,0.922,0.0566,71.02,380.8,2.676,0.025
兰山嘴,2022/6/17,8895930,29.7,7.98,9.37,0.91,0.031,17.4,382.4,2.85,0.025
兰山嘴,2022/6/18,10482091.67,29.63333333,7.695,8.348333333,0.91,0.045166667,33.63333333,383.7,2.796666667,0.025
兰山嘴,2022/6/19,11651310,29.98333333,7.433333333,7.633333333,0.95,0.042333333,28.9,373.4666667,3.06,0.025
兰山嘴,2022/6/20,9887543.333,30.8,7.791666667,7.626666667,0.75,0.038166667,25.9,385.15,2.883333333,0.025
兰山嘴,2022/6/21,9701962.5,30.1,7.5375,6.9925,0.8975,0.049,36.275,387.325,2.955,0.025
兰山嘴,2022/6/22,19608425,30.65,7.685,7.8125,1.045,0.08075,50,386.4,5.59,0.0265
兰山嘴,2022/6/23,13339380,30.12,7.73,7.748,0.91,0.0914,35.64,388.3,6.85,0.025
兰山嘴,2022/7/4,25029500,30.9,8.34,9.59,1.05,0.14,94.6,421.1,8.11,0.025
兰山嘴,2022/7/11,21841933.33,32.6,9.283333333,10.95666667,0.996666667,0.130666667,43.23333333,413.6333333,3.213333333,0.025
兰山嘴,2022/7/13,18869133.33,34,9.273333333,8.89,1.04,0.142333333,50.2,415.9,3.09,0.025
兰山嘴,2022/7/18,24624150,31.3,8.8,7.37,1.425,0.183,51.45,416.7,5.695,0.025
兰山嘴,2022/7/19,19496900,30.8,8.97,9.07,1.44,0.214,53.1,413.4,8.76,0.025
兰山嘴,2022/7/20,27546450,31.6,8.925,10.895,1.15,0.208,67.1,421.75,8.03,0.025
兰山嘴,2022/7/21,19155200,30.6,8.805,8.12,1.035,0.197,49.65,420.95,6.785,0.025
兰山嘴,2022/7/22,23183533.33,31.63333333,9.106666667,10.02666667,0.94,0.223,63.86666667,412.1666667,6.21,0.025
兰山嘴,2022/7/23,18900300,31.21666667,8.968333333,8.485,1.035,0.233833333,51.65,409.6833333,7.895,0.025
兰山嘴,2022/7/24,41577350,31.41666667,9.071666667,9.178333333,0.946666667,0.224833333,83.86666667,559.5666667,7.728333333,0.025
兰山嘴,2022/7/25,18379360,29.8,8.908,8.41,1.074,0.2302,48.84,400.88,7.634,0.025
兰山嘴,2022/7/26,20485200,29.11666667,8.903333333,7.233333333,0.905,0.2495,61.6,402.1833333,7.491666667,0.025
兰山嘴,2022/7/27,24336600,29.81666667,9.093333333,9.005,0.868333333,0.222,57.18333333,409.4833333,7.126666667,0.025
兰山嘴,2022/7/28,16462300,28.95,8.9,7.695,0.78,0.204,47.25,409.5,5.98,0.025
兰山嘴,2022/11/1,5429250,19.7,8.29,11.14,0.685,0.144,26.1,428,5.01,0.025
兰山嘴,2022/11/2,15111600,18,8.29,10.21,0.59,0.084,47.1,428.3,4.04,0.025
兰山嘴,2022/11/3,9493793.333,17.23333333,8.29,8.906666667,0.65,0.078,53.46666667,429.3833333,4.231666667,0.025
兰山嘴,2022/11/4,9781095,16.46666667,8.29,9.151666667,0.575,0.081166667,62.11666667,424.2333333,4.405,0.025
兰山嘴,2022/11/7,7302824.667,15.36666667,8.23,9.725,0.55,0.070166667,51.3,430.6833333,3.685,0.025
兰山嘴,2022/11/8,5182110.667,16.1,8.286666667,9.528333333,0.493333333,0.056166667,33.45,427.9666667,3.271666667,0.025
兰山嘴,2022/11/9,5525414.667,16.08333333,8.248333333,9.458333333,0.52,0.059666667,39.43333333,428.1166667,3.403333333,0.025
兰山嘴,2022/11/10,4546064.333,16.95,8.31,9.413333333,0.521666667,0.049,27.51666667,427.2,3.213333333,0.025
兰山嘴,2022/11/11,5605295,17.4,8.245,9.196666667,0.725,0.057333333,25.3,439.1166667,3.491666667,0.025166667
兰山嘴,2022/11/12,7051222.5,18.23333333,8.25,9.743333333,1.081666667,0.060166667,28.53333333,462.5166667,3.705,0.030166667
兰山嘴,2022/11/13,7545797.833,17.51666667,8.231666667,9.27,1.248333333,0.0725,37.8,472.4,3.865,0.025
兰山嘴,2022/11/14,12361904.5,15.86666667,8.245,9.196666667,1.375,0.0635,30.18333333,468.2333333,4.198333333,0.032333333
兰山嘴,2022/11/15,25668386,14.9,8.28,9.786,1.222,0.0526,32.54,452.1,5.1925,0.0256
兰山嘴,2022/11/16,8726662.5,14.3,8.26,10.6,1.075,0.0385,30.5,460.7,2.965,0.025
兰山嘴,2022/11/17,11284743.75,14.2,8.2975,10.1725,0.8825,0.046,42.125,448.3,4.4675,0.025
兰山嘴,2022/11/18,8659985,14.4,8.321666667,9.491666667,0.931666667,0.050666667,30.73333333,453.55,4.161666667,0.025
兰山嘴,2022/11/19,4798590.167,14.61666667,8.315,9.115,1.125,0.043,18.45,462.0333333,3.26,0.0255
兰山嘴,2022/11/20,6391625.667,14.83333333,8.305,9.498333333,1.001666667,0.031333333,16.98333333,453.25,3.696666667,0.025
兰山嘴,2022/11/21,4961606,15.4,8.332,10.162,0.842,0.024,12.8,449.6,3.08,0.025
兰山嘴,2022/11/22,15979016.33,15.31666667,8.286666667,9.44,1.135,0.047,36.08333333,442.4,4.786666667,0.036
兰山嘴,2022/11/23,5687445.5,15.46666667,8.323333333,9.338333333,0.71,0.0255,18.6,428.9666667,3.423333333,0.0285
兰山嘴,2022/11/24,13869213.17,15.3,8.31,10.32666667,0.833333333,0.0295,26.1,427.2333333,4.485,0.025
兰山嘴,2022/11/25,9370551.333,15.56666667,8.331666667,10.50166667,0.616666667,0.0325,24.56666667,424.05,3.96,0.025
兰山嘴,2022/11/26,14620372,15.98,8.37,10.612,0.472,0.0224,11.84,425.84,2.944,0.025
兰山嘴,2022/11/28,20590440,15.46666667,8.316666667,10.07333333,0.78,0.041,46.46666667,427.4,6.53,0.025
兰山嘴,2022/11/29,31983912.5,14.7,8.3175,9.59,1.2375,0.071,94.275,432.575,7.74,0.025
兰山嘴,2022/11/30,22864335,11.35,8.335,10.31,1.08,0.080166667,118.1666667,432.3666667,6.333333333,0.027
兰山嘴,2022/12/1,23166220,8.675,8.3125,10.9475,1.05,0.07075,100.275,424.375,6.5825,0.025
兰山嘴,2022/12/2,16542998.67,7.533333333,8.373333333,11.12,0.785,0.048,64.68333333,421.45,4.808333333,0.025166667
兰山嘴,2022/12/3,16453823.33,7.266666667,8.956,11.45166667,0.943333333,0.042166667,45.96666667,430.9333333,4.735,0.025
兰山嘴,2022/12/4,9637651.667,7.133333333,8.436666667,11.24166667,0.895,0.047333333,50.16666667,415.6,4.311666667,0.069833333
兰山嘴,2022/12/5,10729236,6.96,7.706,11.622,0.724,0.0478,63.42,416.12,4.472,0.025
兰山嘴,2022/12/6,20112856.17,7.066666667,7.638333333,11.78833333,0.91,0.036666667,45.93333333,425.1833333,4.78,0.025
兰山嘴,2022/12/7,6768458.5,7.15,8.69,11.60666667,0.693333333,0.03,29.75,415.8333333,3.365,0.034
兰山嘴,2022/12/8,7323227.5,7.483333333,8.92,11.34,0.723333333,0.024166667,23.75,420.15,3.243333333,0.057166667
兰山嘴,2022/12/9,10859220.83,7.583333333,8.37,11.21833333,0.84,0.0315,27.83333333,413.3333333,3.403333333,0.046166667
兰山嘴,2022/12/10,6064177.5,7.933333333,8.675,11.29666667,0.641666667,0.023333333,17.96666667,416.75,3.105,0.029
兰山嘴,2022/12/11,6745299.333,7.883333333,8.426666667,11.45333333,0.643333333,0.0405,34.41666667,414.15,3.303333333,0.025
兰山嘴,2022/12/12,6772597.6,7.7,8.544,11.492,0.646,0.0374,34.56,416.72,3.148,0.025
兰山嘴,2022/12/13,8174757.333,7.466666667,7.918333333,11.50666667,0.643333333,0.033333333,56.21666667,416.9333333,3.481666667,0.025
兰山嘴,2022/12/14,7766681,7.2,7.928333333,11.66166667,0.615,0.033166667,58.03333333,412.9833333,3.373333333,0.025
兰山嘴,2022/12/15,8461935,6.733333333,7.925,11.67666667,0.583333333,0.035666667,58.9,412.7333333,3.341666667,0.058833333
兰山嘴,2022/12/16,8943476.333,6.883333333,7.915,11.67333333,0.713333333,0.0455,77.35,414.7666667,3.91,0.0656
兰山嘴,2022/12/17,11823563.33,5.916666667,7.916666667,11.99666667,0.68,0.079666667,174.5833333,414.95,5.216666667,0.3118
兰山嘴,2022/12/18,7853014.167,4.433333333,7.985,12.36,0.918333333,0.0635,96.36666667,452.1,3.813333333,0.2388
兰山嘴,2022/12/19,7403505.833,4.116666667,7.995,12.46166667,0.888333333,0.043833333,62.96666667,451.5333333,3.03,0.157
兰山嘴,2022/12/20,7074047.833,4.4,8.001666667,12.52166667,0.898333333,0.035,53.88333333,443.5833333,2.995,0.1432
兰山嘴,2022/12/21,6500541.333,4.85,8.008333333,12.43,1.02,0.039333333,50.11666667,460.3666667,2.773333333,0.057833333
兰山嘴,2022/12/22,8786727,4.75,7.993333333,12.42333333,1.02,0.074,111.5666667,457.85,3.821666667,0.043833333
兰山嘴,2022/12/23,7752893.5,3.8,7.975,12.54833333,0.86,0.0605,88.18333333,444.75,3.456666667,0.0895
兰山嘴,2022/12/24,6769871.333,3.483333333,7.928333333,12.52,1.338333333,0.0435,61.7,471.0333333,3.521666667,0.4296
兰山嘴,2022/12/25,7348961.833,3.316666667,7.946666667,12.69166667,0.878333333,0.041333333,71.76666667,442.1833333,3.215,0.3464
兰山嘴,2022/12/26,5972319.5,3.5,7.991666667,12.72833333,0.883333333,0.025333333,53.96666667,440.6,2.776666667,0.113333333
兰山嘴,2022/12/27,6270974.2,3.58,7.95,12.578,1.162,0.0252,44.8,445.34,2.932,0.1544
兰山嘴,2022/12/28,6185725.75,3.85,7.8575,12.19,1.745,0.021,36.425,465.45,3.2375,0.147666667
兰山嘴,2022/12/29,5863365,4.1,7.935,12.51,1.43,0.025,31.85,453.2,2.95,0.097
兰山嘴,2022/12/30,6419613,4.06,7.936,12.646,1.568,0.016,26.86,457.44,3.014,0.105
兰山嘴,2022/12/31,5729586.167,4.116666667,7.968333333,12.63833333,1.146666667,0.015333333,26.5,442.2,2.756666667,0.044833333
兰山嘴,2023/1/1,5823179.4,4.38,7.964,12.616,1.154,0.0148,25.68,442.82,2.708,0.0376
兰山嘴,2023/1/2,5469670.4,4.58,7.972,12.506,0.976,0.0108,25.08,437,2.518,0.025
兰山嘴,2023/1/3,6081113,5.14,7.998,12.7,0.994,0.0086,23.96,441.44,2.636,0.025
兰山嘴,2023/1/4,5895919.833,5.266666667,7.976666667,12.52166667,1.128333333,0.013,21.95,444.1,2.768333333,0.053666667
