Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N,Temp_lag3,Temp_lag7,Temp_lag12,Temp_lag18,Temp_lag24,Temp_lag30,pH_lag3,pH_lag7,pH_lag12,pH_lag18,pH_lag24,pH_lag30,DO_lag3,DO_lag7,DO_lag12,DO_lag18,DO_lag24,DO_lag30,TN_lag3,TN_lag7,TN_lag12,TN_lag18,TN_lag24,TN_lag30,TP_lag3,TP_lag7,TP_lag12,TP_lag18,TP_lag24,TP_lag30,Turbidity_lag3,Turbidity_lag7,Turbidity_lag12,Turbidity_lag18,Turbidity_lag24,Turbidity_lag30,EC_lag3,EC_lag7,EC_lag12,EC_lag18,EC_lag24,EC_lag30,CODMn_lag3,CODMn_lag7,CODMn_lag12,CODMn_lag18,CODMn_lag24,CODMn_lag30,NH3N_lag3,NH3N_lag7,NH3N_lag12,NH3N_lag18,NH3N_lag24,NH3N_lag30,y
兰山嘴,2021/12/14,8885077.5,10.725,8.525,11.6775,1.6925,0.05225,33.825,443.625,6.6625,0.025,11.5,11.3,13.56666667,19.2,28.5,26.86666667,8.655,7.61,8.803333333,7.62,8.57,7.7,12.3825,10.465,14,8.174,9.79,7.026666667,1,0.8175,1.156666667,1.496,0.926666667,1.546666667,0.02425,0.0205,0.012333333,0.08,0.079,0.213333333,75.3,110.225,31.3,95.84,213.4,226.9666667,407.65,329.325,405.2,341.46,270.0333333,398.4,2.8025,3.3425,3.183333333,5.542,3.123333333,6.21,0.03325,0.025,0.025,0.025,0.027,0.025,15.99988385
兰山嘴,2021/12/15,22725150,10.6,8.295,11.205,2.23,0.1025,48.5,442.25,9.12,0.025,11.675,10.66666667,12.71666667,15.52,27.65,26.61666667,8.625,7.573333333,8.41,7.7,8.285,7.631666667,11.975,10.51,12.43,9.342,8.25,7.016666667,0.9625,0.693333333,1.131666667,0.946,0.96,1.29,0.023,0.017666667,0.013833333,0.0762,0.092,0.235333333,76.425,84.13333333,92.7,159.2,77.8,211.4333333,399.675,328.3666667,418.3666667,306.46,275.6,403.45,2.7225,3.44,3.326666667,4.834,3.395,5.613333333,0.036,0.025,0.025,0.025,0.0265,0.025,16.93898284
兰山嘴,2021/12/22,2374621.333,10.56666667,8.576666667,12.86666667,1.146666667,0.031,6,438.7666667,5.533333333,0.025,12.8,10.9,12.96666667,13.78,19.63333333,26.81666667,8.75,7.7,7.998333333,7.842,8.346666667,7.678333333,11.555,10.63,11.15666667,9.638,10.47,7.173333333,1.06,0.65,1.393333333,0.876,0.8,1.28,0.0235,0.03,0.013666667,0.0456,0.041333333,0.2105,15.8,85.4,83.73333333,110.88,47.33333333,194.9666667,434.1,325.2,427.55,298.94,324.8,406.9666667,2.715,4.38,3.505,3.88,3.116666667,5.083333333,0.044,0.025,0.025,0.025,0.025,0.025,14.68034897
兰山嘴,2021/12/23,1113037.6,10.66,8.052,11.824,1.42,0.0318,13.66,458.82,5.39,0.0258,10.725,12.25,13.575,13.16,18.825,27.98333333,8.525,8.76,8.045,7.606,8.0925,7.678333333,11.6775,12.615,10.8775,9.734,9.8925,6.831666667,1.6925,1.05,1.2775,0.68,0.865,1.213333333,0.05225,0.0235,0.01,0.0472,0.04075,0.131333333,33.825,25.75,41.775,101.62,45.9,100.65,443.625,395.6,424.775,308.48,327.45,413.0666667,6.6625,2.56,3.37,3.27,3.22,3.945,0.025,0.027,0.025,0.025,0.025,0.025,13.92260431
兰山嘴,2021/12/24,315460,10.7,7.895,11.475,1.63,0.036,13.2,473.5,4.96,0.0335,10.6,11.5,13.025,13.04,19.725,29.46,8.295,8.655,8.2375,7.63,7.97,7.696,11.205,12.3825,10.7325,9.916,8.7225,6.624,2.23,1,1.435,0.64,1.1375,1.288,0.1025,0.02425,0.036,0.0408,0.03475,0.0962,48.5,75.3,127.9,87.86,61.55,52.32,442.25,407.65,407.825,311.1,332.775,409.86,9.12,2.8025,4.995,3.066,3.665,3.024,0.025,0.03325,0.025,0.025,0.025,0.025,12.66179034
兰山嘴,2021/12/27,5794070,5.6,7.76,12.22,1.935,0.091,64.7,501.1,5.8,0.136,10.56666667,11.675,11.3,13.05,19.7,29.8,8.576666667,8.625,7.61,7.695,7.708333333,7.41,12.86666667,11.975,10.465,9.965,8.226666667,6.5,1.146666667,0.9625,0.8175,0.63,1.23,2.12,0.031,0.023,0.0205,0.033,0.04,0.104,6,76.425,110.225,49.7,61.9,95.4,438.7666667,399.675,329.325,311.05,333.3,249.1,5.533333333,2.7225,3.3425,2.76,3.721666667,3.03,0.025,0.036,0.025,0.025,0.025,0.025,15.57234571
兰山嘴,2021/12/28,6570530,5.175,7.795,12.115,1.9875,0.0835,52.2,503.15,5.3625,0.80875,10.66,12.8,10.66666667,13.56666667,19.2,28.5,8.052,8.75,7.573333333,8.803333333,7.62,8.57,11.824,11.555,10.51,14,8.174,9.79,1.42,1.06,0.693333333,1.156666667,1.496,0.926666667,0.0318,0.0235,0.017666667,0.012333333,0.08,0.079,13.66,15.8,84.13333333,31.3,95.84,213.4,458.82,434.1,328.3666667,405.2,341.46,270.0333333,5.39,2.715,3.44,3.183333333,5.542,3.123333333,0.0258,0.044,0.025,0.025,0.025,0.027,15.69810521
兰山嘴,2021/12/30,2818590,5.4,7.83,12.47,1.94,0.048,30.5,488.6,4.41,0.07,10.7,10.725,10.9,12.71666667,15.52,27.65,7.895,8.525,7.7,8.41,7.7,8.285,11.475,11.6775,10.63,12.43,9.342,8.25,1.63,1.6925,0.65,1.131666667,0.946,0.96,0.036,0.05225,0.03,0.013833333,0.0762,0.092,13.2,33.825,85.4,92.7,159.2,77.8,473.5,443.625,325.2,418.3666667,306.46,275.6,4.96,6.6625,4.38,3.326666667,4.834,3.395,0.0335,0.025,0.025,0.025,0.025,0.0265,14.85174767
兰山嘴,2022/1/11,3222133.333,7.333333333,7.86,11.50666667,2.23,0.063,33.23333333,512.0333333,3.933333333,0.241333333,5.6,10.6,12.25,12.96666667,13.78,19.63333333,7.76,8.295,8.76,7.998333333,7.842,8.346666667,12.22,11.205,12.615,11.15666667,9.638,10.47,1.935,2.23,1.05,1.393333333,0.876,0.8,0.091,0.1025,0.0235,0.013666667,0.0456,0.041333333,64.7,48.5,25.75,83.73333333,110.88,47.33333333,501.1,442.25,395.6,427.55,298.94,324.8,5.8,9.12,2.56,3.505,3.88,3.116666667,0.136,0.025,0.027,0.025,0.025,0.025,14.98555453
兰山嘴,2022/1/12,3543073.333,6.866666667,7.926666667,11.82,2.286666667,0.077,46.43333333,522.9,4.226666667,0.239333333,5.175,10.56666667,11.5,13.575,13.16,18.825,7.795,8.576666667,8.655,8.045,7.606,8.0925,12.115,12.86666667,12.3825,10.8775,9.734,9.8925,1.9875,1.146666667,1,1.2775,0.68,0.865,0.0835,0.031,0.02425,0.01,0.0472,0.04075,52.2,6,75.3,41.775,101.62,45.9,503.15,438.7666667,407.65,424.775,308.48,327.45,5.3625,5.533333333,2.8025,3.37,3.27,3.22,0.80875,0.025,0.03325,0.025,0.025,0.025,15.08050536
兰山嘴,2022/1/14,2468725,6.1,7.905,12.185,2.225,0.0845,57.95,526.4,4.56,0.22,5.4,10.66,11.675,13.025,13.04,19.725,7.83,8.052,8.625,8.2375,7.63,7.97,12.47,11.824,11.975,10.7325,9.916,8.7225,1.94,1.42,0.9625,1.435,0.64,1.1375,0.048,0.0318,0.023,0.036,0.0408,0.03475,30.5,13.66,76.425,127.9,87.86,61.55,488.6,458.82,399.675,407.825,311.1,332.775,4.41,5.39,2.7225,4.995,3.066,3.665,0.07,0.0258,0.036,0.025,0.025,0.025,14.71921279
兰山嘴,2022/1/19,2169665.25,8.25,7.89,11.97,2.1325,0.0665,26.975,526.2,3.735,0.17325,7.333333333,10.7,12.8,11.3,13.05,19.7,7.86,7.895,8.75,7.61,7.695,7.708333333,11.50666667,11.475,11.555,10.465,9.965,8.226666667,2.23,1.63,1.06,0.8175,0.63,1.23,0.063,0.036,0.0235,0.0205,0.033,0.04,33.23333333,13.2,15.8,110.225,49.7,61.9,512.0333333,473.5,434.1,329.325,311.05,333.3,3.933333333,4.96,2.715,3.3425,2.76,3.721666667,0.241333333,0.0335,0.044,0.025,0.025,0.025,14.59008391
兰山嘴,2022/1/20,4630718.333,8.016666667,7.75,11.75666667,2.293333333,0.094666667,61.73333333,548.4166667,4.318333333,0.205833333,6.866666667,5.6,10.725,10.66666667,13.56666667,19.2,7.926666667,7.76,8.525,7.573333333,8.803333333,7.62,11.82,12.22,11.6775,10.51,14,8.174,2.286666667,1.935,1.6925,0.693333333,1.156666667,1.496,0.077,0.091,0.05225,0.017666667,0.012333333,0.08,46.43333333,64.7,33.825,84.13333333,31.3,95.84,522.9,501.1,443.625,328.3666667,405.2,341.46,4.226666667,5.8,6.6625,3.44,3.183333333,5.542,0.239333333,0.136,0.025,0.025,0.025,0.025,15.34822278
兰山嘴,2022/1/21,5986150,7.725,7.72,11.6525,2.57,0.1275,86.6,567.525,5.0975,0.29975,6.1,5.175,10.6,10.9,12.71666667,15.52,7.905,7.795,8.295,7.7,8.41,7.7,12.185,12.115,11.205,10.63,12.43,9.342,2.225,1.9875,2.23,0.65,1.131666667,0.946,0.0845,0.0835,0.1025,0.03,0.013833333,0.0762,57.95,52.2,48.5,85.4,92.7,159.2,526.4,503.15,442.25,325.2,418.3666667,306.46,4.56,5.3625,9.12,4.38,3.326666667,4.834,0.22,0.80875,0.025,0.025,0.025,0.025,15.60495919
兰山嘴,2022/2/10,4967275,5.4,7.73,12.11,2.365,0.0585,49.9,479.95,3.83,0.1345,8.25,5.4,10.56666667,12.25,12.96666667,13.78,7.89,7.83,8.576666667,8.76,7.998333333,7.842,11.97,12.47,12.86666667,12.615,11.15666667,9.638,2.1325,1.94,1.146666667,1.05,1.393333333,0.876,0.0665,0.048,0.031,0.0235,0.013666667,0.0456,26.975,30.5,6,25.75,83.73333333,110.88,526.2,488.6,438.7666667,395.6,427.55,298.94,3.735,4.41,5.533333333,2.56,3.505,3.88,0.17325,0.07,0.025,0.027,0.025,0.025,15.41838216
兰山嘴,2022/2/11,4662060,5.6,7.726666667,12.01,2.56,0.072666667,48.16666667,500.0666667,3.876666667,0.251666667,8.016666667,7.333333333,10.66,11.5,13.575,13.16,7.75,7.86,8.052,8.655,8.045,7.606,11.75666667,11.50666667,11.824,12.3825,10.8775,9.734,2.293333333,2.23,1.42,1,1.2775,0.68,0.094666667,0.063,0.0318,0.02425,0.01,0.0472,61.73333333,33.23333333,13.66,75.3,41.775,101.62,548.4166667,512.0333333,458.82,407.65,424.775,308.48,4.318333333,3.933333333,5.39,2.8025,3.37,3.27,0.205833333,0.241333333,0.0258,0.03325,0.025,0.025,15.35496818
兰山嘴,2022/2/12,4122275,6.275,7.6,11.21,3.755,0.11275,45.9,520.05,4.4475,0.7695,7.725,6.866666667,10.7,11.675,13.025,13.04,7.72,7.926666667,7.895,8.625,8.2375,7.63,11.6525,11.82,11.475,11.975,10.7325,9.916,2.57,2.286666667,1.63,0.9625,1.435,0.64,0.1275,0.077,0.036,0.023,0.036,0.0408,86.6,46.43333333,13.2,76.425,127.9,87.86,567.525,522.9,473.5,399.675,407.825,311.1,5.0975,4.226666667,4.96,2.7225,4.995,3.066,0.29975,0.239333333,0.0335,0.036,0.025,0.025,15.231916
兰山嘴,2022/2/13,3755670,6.7,7.56,10.795,3.886666667,0.0875,23.8,531.5333333,4.305,0.802833333,5.4,6.1,5.6,12.8,11.3,13.05,7.73,7.905,7.76,8.75,7.61,7.695,12.11,12.185,12.22,11.555,10.465,9.965,2.365,2.225,1.935,1.06,0.8175,0.63,0.0585,0.0845,0.091,0.0235,0.0205,0.033,49.9,57.95,64.7,15.8,110.225,49.7,479.95,526.4,501.1,434.1,329.325,311.05,3.83,4.56,5.8,2.715,3.3425,2.76,0.1345,0.22,0.136,0.044,0.025,0.025,15.13877752
兰山嘴,2022/2/18,6528145,5.7,7.84,11.955,3.353333333,0.21,122.65,596.15,6.38,0.451916667,5.6,8.25,5.175,10.725,10.66666667,13.56666667,7.726666667,7.89,7.795,8.525,7.573333333,8.803333333,12.01,11.97,12.115,11.6775,10.51,14,2.56,2.1325,1.9875,1.6925,0.693333333,1.156666667,0.072666667,0.0665,0.0835,0.05225,0.017666667,0.012333333,48.16666667,26.975,52.2,33.825,84.13333333,31.3,500.0666667,526.2,503.15,443.625,328.3666667,405.2,3.876666667,3.735,5.3625,6.6625,3.44,3.183333333,0.251666667,0.17325,0.80875,0.025,0.025,0.025,15.69163354
兰山嘴,2022/2/19,5679315,5.55,7.905,12.04,2.82,0.159,92.7,644.85,6.38,0.101,6.275,8.016666667,5.4,10.6,10.9,12.71666667,7.6,7.75,7.83,8.295,7.7,8.41,11.21,11.75666667,12.47,11.205,10.63,12.43,3.755,2.293333333,1.94,2.23,0.65,1.131666667,0.11275,0.094666667,0.048,0.1025,0.03,0.013833333,45.9,61.73333333,30.5,48.5,85.4,92.7,520.05,548.4166667,488.6,442.25,325.2,418.3666667,4.4475,4.318333333,4.41,9.12,4.38,3.326666667,0.7695,0.205833333,0.07,0.025,0.025,0.025,15.55234136
兰山嘴,2022/2/22,3408826.667,6.9,7.956666667,12.28333333,2.82,0.051666667,24.13333333,646.3666667,4.1,0.084333333,6.7,7.725,7.333333333,10.56666667,12.25,12.96666667,7.56,7.72,7.86,8.576666667,8.76,7.998333333,10.795,11.6525,11.50666667,12.86666667,12.615,11.15666667,3.886666667,2.57,2.23,1.146666667,1.05,1.393333333,0.0875,0.1275,0.063,0.031,0.0235,0.013666667,23.8,86.6,33.23333333,6,25.75,83.73333333,531.5333333,567.525,512.0333333,438.7666667,395.6,427.55,4.305,5.0975,3.933333333,5.533333333,2.56,3.505,0.802833333,0.29975,0.241333333,0.025,0.027,0.025,15.041879
兰山嘴,2022/2/23,3420588,7.28,7.934,12.204,2.814,0.0466,22.52,639.38,4.08,0.1186,5.7,5.4,6.866666667,10.66,11.5,13.575,7.84,7.73,7.926666667,8.052,8.655,8.045,11.955,12.11,11.82,11.824,12.3825,10.8775,3.353333333,2.365,2.286666667,1.42,1,1.2775,0.21,0.0585,0.077,0.0318,0.02425,0.01,122.65,49.9,46.43333333,13.66,75.3,41.775,596.15,479.95,522.9,458.82,407.65,424.775,6.38,3.83,4.226666667,5.39,2.8025,3.37,0.451916667,0.1345,0.239333333,0.0258,0.03325,0.025,15.04532332
兰山嘴,2022/3/1,8236386.667,11.43333333,8.086666667,12.31,2.42,0.065333333,15.2,594.4,4,0.110333333,5.55,5.6,6.1,10.7,11.675,13.025,7.905,7.726666667,7.905,7.895,8.625,8.2375,12.04,12.01,12.185,11.475,11.975,10.7325,2.82,2.56,2.225,1.63,0.9625,1.435,0.159,0.072666667,0.0845,0.036,0.023,0.036,92.7,48.16666667,57.95,13.2,76.425,127.9,644.85,500.0666667,526.4,473.5,399.675,407.825,6.38,3.876666667,4.56,4.96,2.7225,4.995,0.101,0.251666667,0.22,0.0335,0.036,0.025,15.92407242
兰山嘴,2022/3/2,9049070,11.45,8.085,11.82,3.02,0.0695,20.15,599.3,4.09,0.0475,6.9,6.275,8.25,5.6,12.8,11.3,7.956666667,7.6,7.89,7.76,8.75,7.61,12.28333333,11.21,11.97,12.22,11.555,10.465,2.82,3.755,2.1325,1.935,1.06,0.8175,0.051666667,0.11275,0.0665,0.091,0.0235,0.0205,24.13333333,45.9,26.975,64.7,15.8,110.225,646.3666667,520.05,526.2,501.1,434.1,329.325,4.1,4.4475,3.735,5.8,2.715,3.3425,0.084333333,0.7695,0.17325,0.136,0.044,0.025,16.01817266
兰山嘴,2022/3/7,8567800,12.85,7.86,10.275,3.56,0.0835,40.85,534.1,4.15,0.1565,7.28,6.7,8.016666667,5.175,10.725,10.66666667,7.934,7.56,7.75,7.795,8.525,7.573333333,12.204,10.795,11.75666667,12.115,11.6775,10.51,2.814,3.886666667,2.293333333,1.9875,1.6925,0.693333333,0.0466,0.0875,0.094666667,0.0835,0.05225,0.017666667,22.52,23.8,61.73333333,52.2,33.825,84.13333333,639.38,531.5333333,548.4166667,503.15,443.625,328.3666667,4.08,4.305,4.318333333,5.3625,6.6625,3.44,0.1186,0.802833333,0.205833333,0.80875,0.025,0.025,15.96352166
兰山嘴,2022/3/8,3389320,13.95,7.81,10.775,3.71,0.064,22.8,534.8,4.205,0.1705,11.43333333,5.7,7.725,5.4,10.6,10.9,8.086666667,7.84,7.72,7.83,8.295,7.7,12.31,11.955,11.6525,12.47,11.205,10.63,2.42,3.353333333,2.57,1.94,2.23,0.65,0.065333333,0.21,0.1275,0.048,0.1025,0.03,15.2,122.65,86.6,30.5,48.5,85.4,594.4,596.15,567.525,488.6,442.25,325.2,4,6.38,5.0975,4.41,9.12,4.38,0.110333333,0.451916667,0.29975,0.07,0.025,0.025,15.03614016
兰山嘴,2022/3/9,3685734,14.18,7.858,10.672,3.608,0.0692,28.5,527.84,4.208,0.136,11.45,5.55,5.4,7.333333333,10.56666667,12.25,8.085,7.905,7.73,7.86,8.576666667,8.76,11.82,12.04,12.11,11.50666667,12.86666667,12.615,3.02,2.82,2.365,2.23,1.146666667,1.05,0.0695,0.159,0.0585,0.063,0.031,0.0235,20.15,92.7,49.9,33.23333333,6,25.75,599.3,644.85,479.95,512.0333333,438.7666667,395.6,4.09,6.38,3.83,3.933333333,5.533333333,2.56,0.0475,0.101,0.1345,0.241333333,0.025,0.027,15.11998052
兰山嘴,2022/3/10,4562963.333,14.46666667,8.023333333,10.90666667,3.473333333,0.082,34.83333333,533.0666667,4.74,0.078333333,12.85,6.9,5.6,6.866666667,10.66,11.5,7.86,7.956666667,7.726666667,7.926666667,8.052,8.655,10.275,12.28333333,12.01,11.82,11.824,12.3825,3.56,2.82,2.56,2.286666667,1.42,1,0.0835,0.051666667,0.072666667,0.077,0.0318,0.02425,40.85,24.13333333,48.16666667,46.43333333,13.66,75.3,534.1,646.3666667,500.0666667,522.9,458.82,407.65,4.15,4.1,3.876666667,4.226666667,5.39,2.8025,0.1565,0.084333333,0.251666667,0.239333333,0.0258,0.03325,15.33348304
兰山嘴,2022/3/11,3924842.5,16.525,8.175,11.9525,3.2675,0.07275,16.8,545.15,4.66,0.14175,13.95,7.28,6.275,6.1,10.7,11.675,7.81,7.934,7.6,7.905,7.895,8.625,10.775,12.204,11.21,12.185,11.475,11.975,3.71,2.814,3.755,2.225,1.63,0.9625,0.064,0.0466,0.11275,0.0845,0.036,0.023,22.8,22.52,45.9,57.95,13.2,76.425,534.8,639.38,520.05,526.4,473.5,399.675,4.205,4.08,4.4475,4.56,4.96,2.7225,0.1705,0.1186,0.7695,0.22,0.0335,0.036,15.18283704
兰山嘴,2022/3/12,4439780,17.55,8.19,11.89,2.67,0.0695,14,547.45,4.82,0.094,14.18,11.43333333,6.7,8.25,5.6,12.8,7.858,8.086666667,7.56,7.89,7.76,8.75,10.672,12.31,10.795,11.97,12.22,11.555,3.608,2.42,3.886666667,2.1325,1.935,1.06,0.0692,0.065333333,0.0875,0.0665,0.091,0.0235,28.5,15.2,23.8,26.975,64.7,15.8,527.84,594.4,531.5333333,526.2,501.1,434.1,4.208,4,4.305,3.735,5.8,2.715,0.136,0.110333333,0.802833333,0.17325,0.136,0.044,15.30611561
兰山嘴,2022/3/13,5540433.333,18.3,8.373333333,12.89,2.826666667,0.072,14.41666667,549.8,5.36,0.042833333,14.46666667,11.45,5.7,8.016666667,5.175,10.725,8.023333333,8.085,7.84,7.75,7.795,8.525,10.90666667,11.82,11.955,11.75666667,12.115,11.6775,3.473333333,3.02,3.353333333,2.293333333,1.9875,1.6925,0.082,0.0695,0.21,0.094666667,0.0835,0.05225,34.83333333,20.15,122.65,61.73333333,52.2,33.825,533.0666667,599.3,596.15,548.4166667,503.15,443.625,4.74,4.09,6.38,4.318333333,5.3625,6.6625,0.078333333,0.0475,0.451916667,0.205833333,0.80875,0.025,15.52758346
兰山嘴,2022/3/14,6245407.5,19.05,8.6425,14.8775,2.433333333,0.0725,15.6,554,5.605,0.025,16.525,12.85,5.55,7.725,5.4,10.6,8.175,7.86,7.905,7.72,7.83,8.295,11.9525,10.275,12.04,11.6525,12.47,11.205,3.2675,3.56,2.82,2.57,1.94,2.23,0.07275,0.0835,0.159,0.1275,0.048,0.1025,16.8,40.85,92.7,86.6,30.5,48.5,545.15,534.1,644.85,567.525,488.6,442.25,4.66,4.15,6.38,5.0975,4.41,9.12,0.14175,0.1565,0.101,0.29975,0.07,0.025,15.64735711
